City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Altay,CN,2022-04-02 02:43:21,47.8667,88.1167,43.9,49,100,4.03
129,Cabo San Lucas,MX,2022-04-02 02:33:11,22.8909,-109.9124,78.1,69,0,11.5
130,Zhezkazgan,KZ,2022-04-02 02:43:23,47.8043,67.7144,31.98,93,0,6.71
131,Esperance,AU,2022-04-02 02:43:24,-33.8667,121.9,76.84,48,16,8.57
132,Sitka,US,2022-04-02 02:35:34,57.0531,-135.33,42.69,61,100,10.36
133,Brae,GB,2022-04-02 02:43:25,60.3964,-1.353,36.82,64,5,3.42
134,Cidreira,BR,2022-04-02 02:36:45,-30.1811,-50.2056,63.12,71,17,4.59
135,Isoka,ZM,2022-04-02 02:43:26,-10.1606,32.6335,61.07,99,98,1.95
136,Glendale,US,2022-04-02 02:43:26,33.5387,-112.186,81.82,22,0,5.75
137,Atuona,PF,2022-04-02 02:36:50,-9.8,-139.0333,79.09,74,45,7.16
138,Chara,RU,2022-04-02 02:44:26,56.9064,118.2631,31.93,87,68,7.45
139,Ak-Dovurak,RU,2022-04-02 02:44:27,51.1833,90.6,25.99,82,100,0.92
140,Vila Franca Do Campo,PT,2022-04-02 02:44:27,37.7167,-25.4333,54.01,96,100,10.8
141,Huilong,CN,2022-04-02 02:44:27,31.8111,121.655,51.69,51,68,7.76
142,Muscle Shoals,US,2022-04-02 02:44:27,34.7448,-87.6675,50.14,73,0,0.0
143,Dagda,LV,2022-04-02 02:44:28,56.0951,27.5372,26.55,82,100,10.51
144,Mumford,GH,2022-04-02 02:44:28,5.2618,-0.759,77.38,80,100,7.99
145,Biltine,TD,2022-04-02 02:44:29,14.5333,20.9167,79.11,8,6,9.35
146,San Miguel,SV,2022-04-02 02:44:29,13.4833,-88.1833,83.86,70,20,3.44
147,Kahului,US,2022-04-02 02:44:31,20.8947,-156.47,80.62,71,40,20.71
148,Verkhoyansk,RU,2022-04-02 02:44:31,67.5447,133.385,8.8,75,30,2.06
149,Kushva,RU,2022-04-02 02:44:32,58.2906,59.7592,20.77,86,100,1.72
150,Geraldton,AU,2022-04-02 02:44:32,-28.7667,114.6,81.01,65,100,19.57
151,Tiznit,MA,2022-04-02 02:44:32,29.5833,-9.5,57.52,71,100,2.33
152,Grootfontein,NA,2022-04-02 02:44:33,-19.5667,18.1167,65.77,88,91,1.14
153,Tirumullaivasal,IN,2022-04-02 02:44:33,11.2333,79.8333,84.16,72,44,9.19
154,Horice,CZ,2022-04-02 02:44:33,50.3661,15.6318,33.03,74,100,5.68
155,Hamilton,US,2022-04-02 02:36:54,39.1834,-84.5333,39.02,72,100,0.0
156,Srivardhan,IN,2022-04-02 02:44:33,18.0333,73.0167,80.56,61,66,2.21
157,Mehamn,NO,2022-04-02 02:44:35,71.0357,27.8492,22.86,84,100,4.83
158,Upernavik,GL,2022-04-02 02:36:47,72.7868,-56.1549,8.58,96,100,9.46
159,Manawar,IN,2022-04-02 02:44:37,22.2333,75.0833,86.83,28,0,9.55
160,Immokalee,US,2022-04-02 02:44:38,26.4187,-81.4173,78.71,91,89,4.32
161,Wanning,CN,2022-04-02 02:44:38,18.8003,110.3967,63.82,94,100,20.11
162,Novyy Urengoy,RU,2022-04-02 02:44:38,66.0833,76.6333,11.07,93,100,9.33
163,Cody,US,2022-04-02 02:41:03,44.5263,-109.0565,43.59,36,0,4.61
164,Broome,US,2022-04-02 02:44:39,42.2506,-75.833,34.7,76,100,17.27
165,Khatanga,RU,2022-04-02 02:38:38,71.9667,102.5,2.64,91,100,5.1
166,New Ross,IE,2022-04-02 02:44:39,52.3967,-6.9367,41.09,46,100,5.95
167,Lagoa,PT,2022-04-02 02:44:39,39.05,-27.9833,56.95,73,100,20.13
168,Barreirinhas,BR,2022-04-02 02:44:41,-2.7469,-42.8264,74.91,92,87,2.66
169,Xiangxiang,CN,2022-04-02 02:44:43,27.7333,112.5333,58.28,65,100,3.94
170,Lebu,CL,2022-04-02 02:44:44,-37.6167,-73.65,55.29,94,2,13.02
171,Tabou,CI,2022-04-02 02:40:40,4.423,-7.3528,79.34,88,100,8.93
172,Belmonte,BR,2022-04-02 02:38:38,-15.8631,-38.8828,77.18,82,9,5.1
173,Inuvik,CA,2022-04-02 02:44:44,68.3499,-133.7218,-5.04,54,0,6.91
174,Gardez,AF,2022-04-02 02:44:45,33.5974,69.2259,52.74,26,0,2.86
175,Bacolod,PH,2022-04-02 02:44:45,10.6667,122.95,86.76,58,75,18.01
176,Lufkin,US,2022-04-02 02:44:43,31.3382,-94.7291,62.51,57,0,8.05
177,Port Alfred,ZA,2022-04-02 02:44:47,-33.5906,26.891,61.18,97,100,4.54
178,Palu,ID,2022-04-02 02:44:47,-0.8917,119.8707,87.19,66,17,4.59
179,Tanete,ID,2022-04-02 02:44:48,-3.9443,119.7848,78.48,87,86,7.76
180,Chuy,UY,2022-04-02 02:36:54,-33.6971,-53.4616,54.34,73,0,4.61
181,Mount Isa,AU,2022-04-02 02:44:49,-20.7333,139.5,92.97,16,60,8.05
182,Thurso,GB,2022-04-02 02:44:50,58.5927,-3.5259,34.05,67,25,3.04
183,Tuatapere,NZ,2022-04-02 02:45:50,-46.1333,167.6833,61.74,65,1,7.47
184,Bambous Virieux,MU,2022-04-02 02:45:50,-20.3428,57.7575,77.22,100,75,29.93
185,Nelson Bay,AU,2022-04-02 02:36:47,-32.7167,152.15,68.09,72,91,17.81
