City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
98,Bredasdorp,ZA,2022-04-02 20:33:18,-34.5322,20.0403,61.84,78,76,13.47,light rain
99,Hambantota,LK,2022-04-02 20:37:51,6.1241,81.1185,78.37,83,23,5.08,few clouds
100,Nha Trang,VN,2022-04-02 20:37:52,12.25,109.1833,78.8,82,100,10.8,overcast clouds
101,Moose Factory,CA,2022-04-02 20:37:52,51.2585,-80.6094,39.2,52,0,8.05,clear sky
102,Noyabrsk,RU,2022-04-02 20:37:52,63.1994,75.4507,4.19,99,56,7.34,broken clouds
103,Terrace,CA,2022-04-02 20:37:53,54.5163,-128.6035,40.91,87,100,8.05,light intensity shower rain
104,Golden,US,2022-04-02 20:37:53,39.7555,-105.2211,67.98,28,40,9.22,scattered clouds
105,Alberton,CA,2022-04-02 20:37:53,46.8168,-64.0654,33.93,76,100,26.96,overcast clouds
106,Vaini,TO,2022-04-02 20:37:54,-21.2,-175.2,78.96,94,75,0.0,broken clouds
107,Sao Jose De Piranhas,BR,2022-04-02 20:37:54,-7.1206,-38.5019,76.14,77,63,3.22,broken clouds
108,Atuona,PF,2022-04-02 20:37:54,-9.8,-139.0333,79.36,76,4,15.12,clear sky
109,Livingston,GB,2022-04-02 20:37:55,55.9029,-3.5226,40.86,77,0,2.3,clear sky
110,Port Blair,IN,2022-04-02 20:37:55,11.6667,92.75,80.64,83,40,2.3,mist
111,Neyshabur,IR,2022-04-02 20:37:55,36.2133,58.7958,60.44,19,1,0.58,clear sky
112,Norman Wells,CA,2022-04-02 20:37:56,65.282,-126.8329,-3.96,50,20,6.91,few clouds
113,Atasu,KZ,2022-04-02 20:37:56,48.6814,71.6433,25.93,79,9,4.05,clear sky
114,Blackwater,AU,2022-04-02 20:37:56,-23.5833,148.8833,70.36,80,6,7.0,clear sky
115,Veraval,IN,2022-04-02 20:37:57,20.9,70.3667,76.5,81,0,11.14,clear sky
116,Kavaratti,IN,2022-04-02 20:37:57,10.5669,72.642,82.15,73,10,3.27,clear sky
