City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
508,Cururupu,BR,77.34,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
511,Mahibadhoo,MV,82.44,few clouds,3.7833,72.9667,Omadhoo Inn
514,Diffa,NE,86.34,clear sky,13.3154,12.6113,ProDAF/Diffa
515,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
516,Auki,SB,77.99,overcast clouds,-8.7676,160.7034,Auki Motel
524,Coron,PH,75.63,broken clouds,11.9986,120.2043,Coron Westown Resort
526,Trinidad,BO,82.38,clear sky,-14.8333,-64.9,Hotel Piesta
530,Pouebo,NC,80.85,overcast clouds,-20.4,164.5667,RIVÂT LODGE
535,Grand-Santi,GF,75.79,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
537,Rio Bananal,BR,78.35,broken clouds,-19.265,-40.3333,Rancho Canephora
540,Sumbe,AO,77.88,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
542,Nuevitas,CU,82.58,clear sky,21.5453,-77.2644,Hotel Caonaba
547,Asosa,ET,76.28,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
549,Davila,PH,77.0,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
551,Tiarei,PF,86.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
555,Phan Thiet,VN,76.3,overcast clouds,10.9333,108.1,Hotel Saigon-PT
560,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
565,Torit,SS,80.51,few clouds,4.4133,32.5678,Diplomat Guest House
566,Palimbang,PH,76.01,light rain,6.2106,124.1894,Felmar Beach resort
573,Aden,YE,81.18,clear sky,12.7794,45.0367,Sama Emirate Hotel
575,Sabang,ID,81.09,light rain,5.8933,95.3214,Hotel Citra
577,Puerto Colombia,CO,82.49,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
579,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
581,Vilhena,BR,80.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
583,Bonthe,SL,76.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
591,Inhambane,MZ,76.46,clear sky,-23.865,35.3833,Oceano
598,Damaturu,NG,87.21,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
603,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
604,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
606,San Francisco,US,79.32,scattered clouds,37.7749,-122.4194,Edwardian Hotel
609,Mayumba,GA,77.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
614,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
619,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
624,Puerto Madryn,AR,80.76,few clouds,-42.7692,-65.0385,Hotel Tolosa
626,Jawhar,SO,80.11,broken clouds,2.7809,45.5005,hantiwadaag village part one
